Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
09/13/2026 08:27:10,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,66
09/13/2026 08:27:10,System.Runtime,dotnet.assembly.count ({assembly}),Metric,111
09/13/2026 08:27:10,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.078125
09/13/2026 08:27:10,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.015625
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,24
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,1312
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,711608
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,88
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1361368
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,98384
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,864856
09/13/2026 08:27:10,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32768
09/13/2026 08:27:10,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,12
09/13/2026 08:27:10,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,3223552
09/13/2026 08:27:10,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
09/13/2026 08:27:10,System.Runtime,dotnet.timer.count ({timer}),Metric,0
09/13/2026 08:27:10,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
09/13/2026 08:27:10,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
09/13/2026 08:27:10,System.Runtime,dotnet.process.memory.working_set (By),Metric,61411328
09/13/2026 08:27:10,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.06419130000000006
09/13/2026 08:27:10,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,10348
09/13/2026 08:27:10,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
09/13/2026 08:27:11,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
09/13/2026 08:27:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,1
09/13/2026 08:27:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
09/13/2026 08:27:11,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
09/13/2026 08:27:11,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,101
09/13/2026 08:27:11,System.Runtime,dotnet.assembly.count ({assembly}),Metric,111
09/13/2026 08:27:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.0625
09/13/2026 08:27:11,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,24
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,1312
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,729520
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,88
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1361368
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,98384
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,864856
09/13/2026 08:27:11,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,8656
09/13/2026 08:27:11,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,12
09/13/2026 08:27:11,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,3223552
09/13/2026 08:27:11,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
09/13/2026 08:27:11,System.Runtime,dotnet.timer.count ({timer}),Metric,0
09/13/2026 08:27:11,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
09/13/2026 08:27:11,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.002806000000000003
09/13/2026 08:27:11,System.Runtime,dotnet.process.memory.working_set (By),Metric,61607936
09/13/2026 08:27:11,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.052787099999999976
09/13/2026 08:27:11,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,8378
09/13/2026 08:27:11,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,44
09/13/2026 08:27:12,System.Runtime,dotnet.assembly.count ({assembly}),Metric,111
09/13/2026 08:27:12,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.03125
09/13/2026 08:27:12,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,24
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,1312
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,729520
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,88
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1361368
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,98384
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,864856
09/13/2026 08:27:12,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,40840
09/13/2026 08:27:12,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,12
09/13/2026 08:27:12,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,3223552
09/13/2026 08:27:12,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.timer.count ({timer}),Metric,0
09/13/2026 08:27:12,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
09/13/2026 08:27:12,System.Runtime,dotnet.process.memory.working_set (By),Metric,61632512
09/13/2026 08:27:12,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.03597410000000001
09/13/2026 08:27:12,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,3850
09/13/2026 08:27:12,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
09/13/2026 08:27:13,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,2
09/13/2026 08:27:13,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
09/13/2026 08:27:13,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
09/13/2026 08:27:13,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
09/13/2026 08:27:13,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,79
09/13/2026 08:27:13,System.Runtime,dotnet.assembly.count ({assembly}),Metric,111
09/13/2026 08:27:13,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.046875
09/13/2026 08:27:13,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0
09/13/2026 08:27:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,24
09/13/2026 08:27:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,1312
09/13/2026 08:27:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
09/13/2026 08:27:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
